0.000000000000000000e+00 0.000000000000000000e+00
6.283185307179586232e-01 5.877852522924731371e-01
1.256637061435917246e+00 9.510565162951535312e-01
1.884955592153875870e+00 9.510565162951536422e-01
2.513274122871834493e+00 5.877852522924732481e-01
3.141592653589793116e+00 1.224646799147353207e-16
3.769911184307751739e+00 -5.877852522924730261e-01
4.398229715025710362e+00 -9.510565162951535312e-01
5.026548245743668986e+00 -9.510565162951536422e-01
5.654866776461627609e+00 -5.877852522924733591e-01
6.283185307179586232e+00 -2.449293598294706414e-16
